CARTELERA PROVISORIA - 2025 - 2do cuatrimestre,,,,,,,,,,
Actividades,Turno,Clase,Día,Inicio,Fin,Pab.,Aula,RA,DOCENTE,
Matemática II,,,Lunes,17:00,19:00,0,1203,DM,Suarez Alvarez,2º cuatrimestre de 2025
Ecuaciones Diferenciales A-Ecuaciones Diferenciales B ,,,Lunes,9:00,14:00,0,1204,DM,Fernandez Bonder/Ceresa,2º cuatrimestre de 2025
Análisis Complejo,,,Lunes,14:00,19:00,0,1204,DM,Rial/Aguilera,2º cuatrimestre de 2025
Optimización Semidefinida-Temas de Optimización Semidefinida,,,Lunes,19:00,22:00,0,1204,IC,Laplagne,2º cuatrimestre de 2025
Inglés Universitario IV B,,,Lunes,10:00,13:00,0,1205,SA,Negro,2º cuatrimestre de 2025
Tesis Feldman ,6/10/2025,,Lunes,13:00,16:00,0,1205,,,
Física II,,,Lunes,17:00,21:00,0,1205,DF,Morales/Severino,2º cuatrimestre de 2025
Analisis topologico de Datos(desde octubre),,LOGITECH-TODAS LAS CLASES,Lunes,15:00,18:00,0,1206,,,
Biología Celular ,,,Lunes,18:00,22:00,0,1206,BBE,Coluccio,2º cuatrimestre de 2025
Química Física I ,,,Lunes,9:00,14:00,0,1207,QI,Castro,2º cuatrimestre de 2025
Seminario de Análisis Armónico y Funcional,,,Lunes,14:00,16:00,0,1207,,Fernández Vidal,2º cuatrimestre de 2025
Estadística-Introducción a la Estadística y Ciencia de Datos-Tópicos de Estadística,,,Lunes,17:00,19:00,0,1207,IC,Valdora,2º cuatrimestre de 2025
Matemática II ,,,Lunes,9:00,11:00,0,1208,DM,Stockdale,2º cuatrimestre de 2025
Química Orgánica 1 ,,,Lunes,15:00,17:00,0,1208,QO,Di Chenna,2º cuatrimestre de 2025
Estructura de la Materia 3 ,,,Lunes,17:00,20:00,0,1208,DF,Alcoba,2º cuatrimestre de 2025
Tipos Dependientes y Demostradores Interactivos - 2025 ,,,Lunes,13:00,17:00,0,1209,DC,Barenbaum,2º cuatrimestre de 2025
Física 3 ,,Turno B,Lunes,17:00,22:00,0,1209,DF,Chernomoretz/Marques,2º cuatrimestre de 2025
Ecología de Poblaciones,29/9/2025,,Lunes,9:00,14:00,0,1301,,,
Química Industrial ,,,Lunes,17:00,21:00,0,1301,DI,Cassanello,2º cuatrimestre de 2025
